VehicleID,Location,Maker,Model,Year,Colour,Amount (Million Naira),Type,Distance
VHL12546,Abuja,Honda,Accord Coupe EX V-6,"2,011",Silver,2.2,Nigerian Used,
VHL18827,Ibadan,Hyundai,Sonata,"2,012",Silver,3.5,Nigerian Used,125000
VHL19499,Lagos,Lexus,RX 350,"2,010",Red,9.2,Foreign Used,110852
VHL17991,Abuja,Mercedes-Benz,GLE-Class,"2,017",Blue,22.8,Foreign Used,30000
VHL12170,Ibadan,Toyota,Highlander,"2,002",Red,2.6,Nigerian Used,125206
VHL19996,Lagos,Toyota,Venza V6,"2,011",Black,7.5,Foreign Used,
VHL16314,Lagos,Lexus,LX 570 AWD,"2,019",Black,79,Foreign Used,
VHL14299,Abuja,Toyota,Avalon,"2,015",Gold,9,Foreign Used,
VHL15637,Lagos,Toyota,Sienna,"2,012",Blue,7.76,Foreign Used,350882
VHL15752,Ibadan,Mercedes-Benz,C240 Matt,"2,004",Black,2.5,Foreign Used,179638
VHL10459,Lagos,Acura,RDX SH-AWD,"2,012",White,7.2,Foreign Used,75858
VHL15950,Lagos,Toyota,Avensis 1.8 Sedan,"2,003",Silver,3.26,Foreign Used,111289
VHL13916,Lagos,Toyota,Corolla,"2,008",Black,1.91,Nigerian Used,126075
VHL10209,Lagos,Toyota,Venza V6 AWD,"2,010",White,6.95,Foreign Used,
VHL15431,Abuja,Toyota,Hilux SR5+ 4x4,"2,018",Black,17,Foreign Used,16000
VHL14203,Lagos,Lexus,ES 350,"2,008",Blue,3.55,Nigerian Used,
VHL16065,Abuja,Toyota,Tacoma Limited,"2,017",Gray,22,Foreign Used,52352
VHL16048,Abuja,Toyota,Hilux,"2,020",White,23,Brand New,7523
VHL18666,Lagos,Lexus,RX 350 AWD,"2,015",Black,14,Foreign Used,
VHL10724,Lagos,Toyota,Avalon,"2,011",Gray,4.9,Foreign Used,75300
VHL13812,Lagos,Dodge,Caravan Cargo Van,"2,006",Red,2.48,Foreign Used,170671
VHL12573,Abuja,Nissan,Altima,"2,020",Gray,16,Foreign Used,9000
VHL14526,Lagos,Mercedes-Benz,M Class,"2,006",Silver,4.6,Foreign Used,
VHL10853,Ibadan,Toyota,Highlander XLE V6 4x4 (3.5L 6cyl 6A),"2,016",Gray,15,Foreign Used,20189
VHL17018,Abuja,Mercedes-Benz,E350,"2,014",Silver,11.85,Foreign Used,40000
VHL18463,Abuja,Honda,Ridgeline,"2,007",Black,4.1,Foreign Used,100000
VHL18173,Abuja,Kia,Optima,"2,014",Burgandy,4.5,Foreign Used,
VHL10241,Lagos,Lexus,ES 350,"2,007",Gray,4.2,Foreign Used,85474
VHL19024,Abuja,Toyota,Venza V6 AWD,"2,010",Green,9,Foreign Used,42483
VHL13114,Abuja,Toyota,Venza AWD,"2,010",Green,7.8,Foreign Used,49000
VHL17026,Lagos,Toyota,Sequoia,"2,009",Black,5.9,Nigerian Used,140000
VHL19933,Abuja,Toyota,Camry,"2,014",Gray,4,Nigerian Used,128885
VHL17277,Ibadan,Toyota,RAV4 Limited V6 4x4,"2,007",Green,4,Foreign Used,96000
